ehux_ID,geph_ID,match
124351,evm.model.Contig61.22,100
46864,evm.model.Contig1135.22,100
428487,evm.model.Contig1620.12,100
72393,evm.model.Contig2433.2,100
69699,evm.model.Contig2920.2,100
198173,evm.model.Contig2468.4,100
78924,evm.model.Contig1617.8,100
449596,evm.model.Contig1875.1,100
50671,evm.model.Contig1047.17,100
353157,evm.model.Contig5649.1,100
195284,evm.model.Contig1564.14,100
368305,evm.model.Contig1617.8,100
221716,evm.model.Contig1559.6,100
359184,evm.model.Contig1704.19,100
69246,evm.model.Contig2156.3,100
46715,evm.model.Contig2166.7,100
256210,evm.model.Contig2232.7,100
420891,evm.model.Contig902.29,100
124945,evm.model.Contig1477.21,100
64530,evm.model.Contig2429.5,100
49248,evm.model.Contig1664.7,100
78528,evm.model.Contig495.2,100
73196,evm.model.Contig2993.1,100
242314,evm.model.Contig1437.21,100
125567,evm.model.Contig1514.7,100
451245,evm.model.Contig1220.14,100
351077,evm.model.Contig1215.9,100
414244,evm.model.Contig990.15,100
437459,evm.model.Contig1094.11,100
197584,evm.model.Contig1465.9,100
370625,evm.model.Contig1379.4,100
446643,evm.model.Contig1027.1,100
452684,evm.model.Contig875.7,100
70385,evm.model.Contig1119.18,100
365818,evm.model.Contig2368.8,100
48366,evm.model.Contig2787.1,100
48369,evm.model.Contig2787.1,100
125393,evm.model.Contig24.41,100
59582,evm.model.Contig1553.7,100
237450,evm.model.Contig1303.23,100
61745,evm.model.Contig965.12,100
78395,evm.model.Contig67.22,100
455015,evm.model.Contig1174.22,100
122124,evm.model.Contig910.50,100
443186,evm.model.Contig1383.10,100
75875,evm.model.Contig2196.8,100
223106,evm.model.Contig995.35,100
60733,evm.model.Contig296.3,100
444084,evm.model.Contig1657.12,100
78774,evm.model.Contig19.43,100
65742,evm.model.Contig1409.2,100
200816,evm.model.Contig39.10,100
49673,evm.model.Contig6.56,100
311881,evm.model.Contig4580.1,100
254783,evm.model.Contig3514.2,100
252780,evm.model.Contig933.50,100
194153,evm.model.Contig5453.1,100
50604,evm.model.Contig1207.17,100
63012,evm.model.Contig1921.3,100
58713,evm.model.Contig1734.14,100
61622,evm.model.Contig1132.5,100
223278,evm.model.Contig1547.13,100
60978,evm.model.Contig526.1,100
57638,evm.model.Contig2021.2,100
443007,evm.model.Contig259.2,100
68375,evm.model.Contig1465.1,100
449178,evm.model.Contig889.54,100
457781,evm.model.Contig1798.1,100
70490,evm.model.Contig1118.15,100
49780,evm.model.Contig1574.4,100
436711,evm.model.Contig1423.12,100
77965,evm.model.Contig2433.2,100
437972,evm.model.Contig42.28,100
69409,evm.model.Contig61.17,100
252645,evm.model.Contig3726.1,100
207485,evm.model.Contig772.9,100
256429,evm.model.Contig939.24,100
48847,evm.model.Contig1844.14,100
195023,evm.model.Contig1381.10,100
441551,evm.model.Contig361.1,100
195022,evm.model.Contig33.13,100
50441,evm.model.Contig1574.4,100
215637,evm.model.Contig818.6,100
49271,evm.model.Contig1134.15,100
442103,evm.model.Contig1362.1,100
59988,evm.model.Contig1627.11,100
308715,evm.model.Contig2148.8,100
50161,evm.model.Contig1064.19,100
71231,evm.model.Contig1259.4,100
435934,evm.model.Contig939.26,100
256852,evm.model.Contig87.17,100
438795,evm.model.Contig1266.13,100
438793,evm.model.Contig1343.8,100
256033,evm.model.Contig198.11,100
447943,evm.model.Contig1620.7,100
99016,evm.model.Contig2824.3,100
57235,evm.model.Contig1182.18,100
74568,evm.model.Contig71.10,100
448690,evm.model.Contig191.5,100
207159,evm.model.Contig1491.3,100
47896,evm.model.Contig896.48,100
47895,evm.model.Contig949.3,100
441749,evm.model.Contig525.2,100
250620,evm.model.Contig1838.7,100
234154,evm.model.Contig1096.24,100
438507,evm.model.Contig1611.1,100
121403,evm.model.Contig1584.6,100
459781,evm.model.Contig1692.1,100
